year,fitted,fitted_s,actual
1970,,,
1971,,,
1972,,,
1973,626460.9054,626460.9054,670046
1974,731931.0876,731931.0876,608605
1975,684303.0928,684303.0928,627625
1976,574706.6199,574706.6199,728711
1977,693621.3985,693621.3985,679331
1978,662236.6549,662236.6549,570057
1979,478791.1341,478791.1341,488269
1980,450937.172,435811.9194,408880
1981,475649.7627,447454.5411,469541
1982,479977.2691,423606.1957,511586
1983,423126.4295,360475.6905,508372
1984,528485.7475,428152.6311,701291
1985,533743.1195,419785.8874,845280
1986,446346.6466,324902.2483,917392
1987,604977.933,428066.929,906606
1988,561912.0472,381334.1824,797736
1989,424151.2406,283798.6262,730289
1990,541421.1603,364808.2739,540760
1991,815285.5354,536016.4368,636305
1992,955184.6663,636025.813,634024
1993,1065652.892,680559.4525,538534
1994,792671.996,499317.1244,403144
1995,492942.0304,304249.9356,411036
1996,681284.0535,416089.4531,523286
1997,786496.3299,474563.7116,690127
1998,648326.4731,395305.407,493462
1999,568255.4049,346589.5478,572030
2000,759206.2644,465935.2666,855936
2001,1275651.402,794147.9618,1875268
2002,1424911.31,863244.3702,1493899
2003,1189728.045,715075.7215,1452172
2004,1056060.867,625946.6747,1397635
2005,846430.1918,502437.9253,1042339
2006,803448.923,472894.9369,972186
2007,898177.8145,527536.8014,721981
2008,974803.7875,567430.9373,1225929
2009,1123787.696,646781.1878,1487970
2010,1345537.392,780751.3222,1733842
2011,1443857.001,826708.758,1377631
2012,1308878.278,750487.3163,1395881
2013,1542568.485,868635.1778,1608826
2014,1741889.138,983112.5023,2372504
2015,1500906.958,849939.9701,2153939
2016,995849.3955,560758.1505,1270645
2017,613418.5464,347259.2904,770488
2018,596134.2934,338383.1237,673655
2019,1009871.93,568986.9846,596099
2020,728667.2021,428223.4539,
